Company,TypeName,Inches,resolution_width,resolution_height,touchscreen,cpu_brand,cpu_name,cpu_speed,Ram,memory_type,primary_storage,secondary_storage,gpu_brand,gpu_name,OpSys,Weight,Price,index
HP,Notebook,17.3,1920,1080,0,Intel,"Core i5 8250U",1.6,8,HDD,1024,1024,Nvidia,"GeForce 930MX",Windows,2.5,47739,141
Lenovo,Notebook,15.6,1366,768,0,Intel,"Core i3 6006U",2.0,8,SSD,256,256,Nvidia,"GeForce 920MX",N/A,2.2,26587,142
Dell,Ultrabook,14,1920,1080,0,Intel,"Core i5 8250U",1.6,8,SSD,256,256,Intel,"UHD Graphics 620",Windows,1.7,46833,143
Asus,Gaming,15.6,1920,1080,0,Intel,"Core i7 7700HQ",2.8,8,HDD,500,500,Nvidia,"GeForce GTX 1050",Windows,2.5,53227,144
HP,Notebook,17.3,1920,1080,0,Intel,"Core i7 8550U",1.8,16,SSD,256,256,Nvidia,"GeForce 930MX",Windows,2.5,67719,145
Acer,Notebook,17.3,1920,1080,0,Intel,"Core i5 8250U",1.6,4,SSD,256,256,Nvidia,"GeForce MX150",Windows,3,42890,146
Dell,Notebook,15.6,1920,1080,0,Intel,"Core i3 6006U",2.0,4,SSD,512,512,AMD,"Radeon R5 M430",Windows,2.2,26581,147
Dell,Notebook,15.6,3840,2160,1,Intel,"Core i7 7700HQ",2.8,16,HDD,1024,1024,Nvidia,"GeForce GTX 1050",Windows,2.06,127712,148
Acer,Notebook,15.6,1920,1080,0,Intel,"Core i7 7700HQ",2.8,8,Others,NULL,NULL,Nvidia,"GeForce GTX 1050",Linux,2.4,41505,149
HP,Notebook,15.6,1920,1080,0,AMD,"E-Series E2-9000e",1.5,4,HDD,1024,1024,AMD,"Radeon R2",Windows,2.1,18595,150
HP,Notebook,15.6,1366,768,0,Intel,"Pentium Quad Core N3710",1.6,8,SSD,512,512,Intel,"HD Graphics 405",Windows,2.04,20726,151
Asus,Ultrabook,15.6,1920,1080,0,Intel,"Core i5 7200U",2.5,8,Others,1024,1024,Nvidia,"GeForce 940MX",Windows,1.7,52055,152
Lenovo,Gaming,15.6,1920,1080,0,Intel,"Core i5 7300HQ",2.5,8,SSD,128,128,Nvidia,"GeForce GTX 1050",N/A,2.4,41505,153
Dell,Notebook,17.3,1920,1080,0,Intel,"Core i7 8550U",1.8,8,Hybrid,256,256,AMD,"Radeon 530",Windows,2.8,60846,154
Dell,Notebook,15.6,1920,1080,0,Intel,"Core i7 8550U",1.8,8,SSD,256,256,AMD,"Radeon 530",Windows,2.2,52481,155
HP,Notebook,14,1920,1080,0,Intel,"Core i5 7300U",2.6,8,SSD,256,256,Intel,"HD Graphics 620",Windows,1.48,67559,156
Chuwi,Notebook,15.6,1920,1080,0,Intel,"Atom x5-Z8300",1.4,4,SSD,256,256,Intel,"HD Graphics",Windows,1.89,13053,157
MSI,Gaming,17.3,1920,1080,0,Intel,"Core i7 7700HQ",2.8,16,SSD,256,256,Nvidia,"GeForce GTX 1060",Windows,2.8,100699,158
Dell,Notebook,15.6,1920,1080,0,Intel,"Core i5 8250U",1.6,8,SSD,256,256,AMD,"Radeon 520",Linux,2.2,34472,159
Lenovo,Notebook,15.6,1920,1080,0,Intel,"Core i3 6006U",2.0,4,HDD,500,500,Intel,"HD Graphics 520",N/A,2.2,23656,160
HP,Notebook,15.6,1920,1080,0,Intel,"Core i5 7200U",2.5,8,HDD,1024,1024,Intel,"HD Graphics 620",Windows,1.84,60952,161
Lenovo,Notebook,14,1920,1080,0,Intel,"Core i3 7130U",2.7,8,SSD,256,256,Intel,"HD Graphics 620",N/A,1.7,31915,162
Asus,Notebook,14,1366,768,0,AMD,"E-Series E2-6110",1.5,2,SSD,256,256,AMD,"Radeon R2",Windows,1.65,10603,163
Acer,Ultrabook,13.3,1920,1080,0,Intel,"Core i5 7Y54",1.2,8,SSD,256,256,Intel,"HD Graphics 615",Windows,1.12,52694,164
Apple,Ultrabook,12,2304,1440,0,Intel,"Core M m3",1.2,8,HDD,1024,1024,Intel,"HD Graphics 615",Mac,0.92,67261,165
Dell,Notebook,15.6,1920,1080,0,Intel,"Core i7 8550U",1.8,8,Hybrid,256,256,Intel,"UHD Graphics 620",Windows,2.02,45554,166
Asus,Notebook,15.6,1366,768,0,Intel,"Celeron Dual Core N3350",1.1,4,HDD,1024,1024,Intel,"HD Graphics 500",Linux,2,14651,167
HP,Ultrabook,14,1920,1080,0,Intel,"Core i5 7500U",2.7,4,Hybrid,128,128,Intel,"HD Graphics 620",Windows,1.48,57649,168
Dell,Notebook,15.6,1920,1080,0,Intel,"Core i5 8250U",1.6,8,SSD,256,256,AMD,"Radeon 520",Windows,2.13,38788,169
Dell,Notebook,17.3,1920,1080,0,Intel,"Core i7 8550U",1.8,8,HDD,500,500,AMD,"Radeon 530",Windows,2.8,57809,170
Apple,Ultrabook,13.3,2560,1600,0,Intel,"Core i5",2.3,8,SSD,256,256,Intel,"Iris Plus Graphics 640",Mac,1.37,80908,171
HP,Notebook,15.6,1920,1080,0,Intel,"Core i5 8250U",1.6,4,HDD,2048,2048,Intel,"HD Graphics 620",Windows,2.1,38468,172
Dell,Notebook,15.6,1920,1080,0,Intel,"Core i5 8250U",1.6,8,HDD,500,500,Nvidia,"GeForce 940MX",Windows,2,60886,173
HP,Notebook,15.6,1366,768,1,Intel,"Core i5 7200U",2.5,8,HDD,500,500,Intel,"HD Graphics 620",Windows,2.04,29784,174
Acer,Notebook,15.6,1920,1080,0,Intel,"Core i3 7130U",2.7,4,SSD,256,256,Nvidia,"GeForce MX130",Windows,2.2,28238,175
